data,num_file,L0,L2,Epsilon,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG,RL_iters_p10,RL_rewards_p10,RL_nnz_p10,RL_OG_p10,RL_iters_p50,RL_rewards_p50,RL_nnz_p50,RL_OG_p50,RL_iters_p100,RL_rewards_p100,RL_nnz_p100,RL_OG_p100,RL_iters_mixed,RL_rewards_mixed,RL_nnz_mixed,RL_OG_mixed
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_21.csv,0,0.016558148530057184,0.0,0.05,215,10,1.4149946618507417e-06,1000,10,0.020109478505921912,1000,-61,10,0.0647260325560344,69,58,10,1.4149946618507417e-06,68,67,10,1.4149946618507417e-06,73,62,10,0.0
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_0.csv,1,0.016313785467632298,0.0,0.05,457,10,2.2546196578184063e-05,1000,10,0.029332746363596153,1000,-51,10,0.001620821433652664,52,48,10,0.0,51,39,10,-0.0014232809847160176,56,50,10,0.0
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_8.csv,2,0.016211340516995656,0.0,0.05,1000,11,0.06153393627128961,1000,11,0.0952611270823059,1000,-46,10,0.014612761966034801,1000,-60,11,0.062241239450042625,72,52,10,-0.0019283757892313293,74,51,10,0.0
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_3.csv,3,0.015393706170067883,0.0,0.05,809,10,-0.04067187765207538,1000,10,0.025974281258689214,1000,-31,10,0.007249806351173752,50,47,10,-0.0006445459260828959,53,40,10,-0.0005766188434369666,53,46,10,-0.0007670573980425893
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_14.csv,4,0.016259046617100342,0.0,0.05,337,10,-0.004098410622833954,1000,10,0.0313759593465458,1000,-38,10,0.008427815565712577,58,57,10,-0.0006970830804359446,59,50,10,-0.0006970830804359446,60,56,10,-0.007706315831582746
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_13.csv,5,0.017450163815230412,0.0,0.05,708,10,-0.014136255122588235,1000,10,0.02763939922264556,1000,-35,10,0.013351165571070123,1000,-57,10,0.01130177055374307,78,52,10,-0.0013760136253483655,83,57,10,-0.0013760136253483655
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_15.csv,6,0.017197164326362018,0.0,0.05,212,10,-0.03191695825452316,1000,10,0.031399887949941724,1000,-41,10,0.003054223887362178,61,59,10,-0.00021432898257864278,69,42,10,-0.0032199109285609086,61,57,10,-0.0010472998987185603
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_18.csv,7,0.016874788792948923,0.0,0.05,1000,11,0.0631560798969899,1000,11,0.06859739800188615,1000,-41,10,0.025558839486631412,1000,-60,11,0.0717720375728079,76,56,10,0.0,90,52,10,0.0
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_7.csv,8,0.017671356216196824,0.0,0.05,363,10,-0.016534698174160173,1000,10,0.017691234102466844,1000,-38,10,0.001430946958466962,71,59,10,-0.00026006525155413416,70,43,10,-0.00043836030260643004,75,58,10,-0.0007310045502942783
x_gen_syn_n3_p100_corr0.5_snr5_b0_seed2024_5.csv,9,0.01684651767058481,0.0,0.05,426,10,-0.003242029239651998,907,10,-0.0017039648004136564,1000,-47,10,0.05558707487942897,63,54,10,-4.5366307435228004e-05,63,52,10,-0.002881596029518663,63,61,10,-0.002881596029518663
