data,num_file,L0,L2,Epsilon,RL_iters,RL_rewards,RL_nnz,RL_OG,MF_iters,MF_nnz,MF_OG
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_27.csv,0,0.003321164654013896,0.0,0.9510861131396825,416,-52,20,0.0,416,20,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_12.csv,1,0.0031157704229591767,0.0,0.9137018127344939,299,-30,20,0.0,302,20,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_8.csv,2,0.0036371991194197035,0.0,0.8777869753962949,859,-48,22,0.0,599,22,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_25.csv,3,0.0031164518779819416,0.0,0.8432838410043435,381,-40,21,0.0,282,21,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_12.csv,4,0.01612527735129698,0.0,0.8101369198124475,83,-49,10,-0.0012005916823953813,54,10,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_27.csv,5,0.016000344390739697,0.0,0.7782929032074498,107,-49,10,-0.00035950393121673426,62,10,-0.00024659120354919627
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_13.csv,6,0.0032171626377205612,0.0,0.7477005779755278,1000,-62,72,1.0662447363400083,700,20,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_17.csv,7,0.016884066586411332,0.0,0.718310743938423,72,-47,10,-0.0001435387261807667,74,10,-0.0006598768885022594
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_18.csv,8,0.016904946039161723,0.0,0.6900761348271398,69,-42,10,3.8667640206304606e-08,71,10,3.8667640206304606e-08
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_21.csv,9,0.06731468238312378,0.0,0.6629513422658584,31,-8,5,-0.007075211758718168,31,5,-0.007075211758718168
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_19.csv,10,0.0034458588188943286,0.0,0.6368927427438086,422,-43,20,0.0,449,21,0.0
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_11.csv,11,0.003139923604958446,0.0,0.6118584274576573,369,-37,20,0.0,385,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_24.csv,12,0.06585367232415863,0.0,0.5878081349115776,26,-1,5,-0.001952669718932889,26,5,-0.001952669718932889
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_24.csv,13,0.0033572443203122243,0.0,0.5647031861666044,436,-49,20,0.0,492,20,0.0
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_6.csv,14,0.0646059968854806,0.0,0.5425064226351417,28,-3,5,-0.006997916306129182,28,5,-0.006997916306129182
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_3.csv,15,0.06779783735103481,0.0,0.5211821463205767,28,-2,5,-0.005094824204066197,28,5,-0.005094824204066197
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_9.csv,16,0.00329290176770897,0.0,0.5006960624058935,332,-36,20,0.0,378,20,0.0
x_gen_syn_n3_p100_corr0.5_snr5.0_seed2022_23.csv,17,0.017024038428566046,0.0,0.48101522409895464,61,-45,10,-0.00012230232780013854,64,10,-0.0004504158882573585
x_gen_syn_n3_p50_corr0.5_snr5.0_seed2022_20.csv,18,0.06579226346272106,0.0,0.46210797964574557,27,-1,5,-0.0038965106277375657,27,5,-0.008202453695096541
x_gen_syn_n3_p200_corr0.5_snr5.0_seed2022_0.csv,19,0.003155991014137609,0.0,0.44394392142636735,415,-56,20,0.0,427,20,0.0
